"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
" TSSC4 ",2.17810333333334,10.3620483333333,25.0119697495856,2.47610820686142e-10,6.3418301073977e-08,14.4618090100557
" MRPL37 ",-1.66656666666667,11.20655,-24.963818317105,2.52347770495686e-10,6.34809956212196e-08,14.4430463012636
" FRRS1L ",2.87326666666667,9.0666,24.9542288773413,2.53302981626697e-10,6.34809956212196e-08,14.4393046500782
" S100PBP ",-1.78061666666667,10.097825,-24.9221778596521,2.56524549860818e-10,6.36044434426179e-08,14.4267866981478
" DLX1 ",2.91424333333333,7.39151833333333,24.8800505614415,2.60827591549198e-10,6.37224609827382e-08,14.4103048374574
" RNU6-958P ",-1.79003333333333,9.99631666666667,-24.8641854018515,2.62468625492035e-10,6.37224609827382e-08,14.4040893568
" VPS13B ",-2.59799666666667,9.27866833333333,-24.7863677615669,2.70683807194283e-10,6.4998611280723e-08,14.3735359902474
" SSTR5-AS1 ",-2.93604,7.64473666666667,-24.762105659027,2.73302608894789e-10,6.4998611280723e-08,14.3639872518176
" C6orf1 ",-1.95413,9.52230166666667,-24.7201284360357,2.7789954026056e-10,6.54242887358877e-08,14.3474407987169
" LOC100996696 ",-1.74120666666667,10.3026633333333,-24.6755095108203,2.82879100237539e-10,6.59306318923632e-08,14.3298173140558
" TERF1P2 ",-1.89261,10.037295,-24.6078308372477,2.90620324867944e-10,6.7064236749477e-08,14.3030151881504
" EYA2 ",2.06988333333333,8.37126833333333,24.5331998625683,2.99427650416367e-10,6.84192181201399e-08,14.2733607660424
" MAML1 ",1.62776666666667,11.0345833333333,24.4158892663987,3.13870325748047e-10,7.03668493653274e-08,14.2265363861321
" GCAT ",1.65984,6.93772666666667,24.4149464326722,3.1398945956125e-10,7.03668493653274e-08,14.2261590038699
" CREB3L2 ",2.04718,8.70879333333333,24.3561203345554,3.21521735556954e-10,7.13686389583421e-08,14.2025797438854
" TYRO3 ",-1.9674,8.88892666666667,-24.223653184726,3.39220605370398e-10,7.45869306544138e-08,14.1492418132042
" RAB40C ",1.86719666666667,9.471235,24.2003405770958,3.42444785304821e-10,7.45921552439201e-08,14.139820243712
" POPDC3 ",1.93174,7.70911,24.0278318759083,3.67376317438572e-10,7.92818502827852e-08,14.0697766737595
